Date,Open,High,Low,Close,Volume,Adj Close
2013-07-08,13.36,13.44,13.28,13.44,50012300,13.44
2013-07-05,13.25,13.25,12.70,13.03,53008200,13.03
2013-07-03,13.31,13.37,13.29,13.31,27334000,13.31
2013-07-02,13.32,13.39,13.31,13.38,21957900,13.38
2013-07-01,13.37,13.39,13.30,13.31,19970100,13.31
2013-06-28,13.33,13.40,13.32,13.33,16860700,13.33
2013-06-27,13.38,13.44,13.34,13.34,8502600,13.34
2013-06-26,13.44,13.48,13.38,13.46,11711200,13.38
2013-06-25,13.39,13.45,13.36,13.43,10213000,13.35
2013-06-24,13.36,13.37,13.28,13.34,10615200,13.26
2013-06-21,13.38,13.38,13.32,13.35,22960500,13.27
2013-06-20,13.38,13.40,13.33,13.37,17173600,13.29
2013-06-19,13.47,13.48,13.40,13.41,13706500,13.33
2013-06-18,13.41,13.74,13.40,13.48,98983700,13.40
2013-06-17,13.41,13.43,13.39,13.41,8444300,13.33
2013-06-14,13.42,13.50,13.38,13.39,11630900,13.31
2013-06-13,13.38,13.58,13.36,13.45,8737200,13.37
2013-06-12,13.39,13.41,13.36,13.37,13689600,13.29
2013-06-11,13.40,13.43,13.36,13.37,7789900,13.29
2013-06-10,13.46,13.48,13.40,13.42,7518600,13.34
2013-06-07,13.52,13.53,13.46,13.49,11453200,13.41
2013-06-06,13.42,13.50,13.40,13.49,13827700,13.41
2013-06-05,13.44,13.46,13.38,13.43,6908400,13.35
2013-06-04,13.43,13.50,13.40,13.42,13909900,13.34
2013-06-03,13.36,13.46,13.33,13.45,10932200,13.37
2013-05-31,13.30,13.47,13.29,13.36,27805600,13.28
2013-05-30,13.33,13.38,13.27,13.27,23639400,13.19
2013-05-29,13.35,13.40,13.34,13.36,9864500,13.28
2013-05-28,13.39,13.40,13.35,13.36,7331700,13.28
2013-05-24,13.37,13.40,13.33,13.34,16089400,13.26
2013-05-23,13.39,13.42,13.35,13.35,8923500,13.27
2013-05-22,13.39,13.43,13.37,13.37,12795100,13.29
2013-05-21,13.40,13.43,13.38,13.39,12035000,13.31
2013-05-20,13.40,13.44,13.38,13.41,10819700,13.33
2013-05-17,13.41,13.45,13.39,13.40,16125400,13.32
2013-05-16,13.44,13.45,13.41,13.43,13510500,13.35
2013-05-15,13.44,13.49,13.43,13.45,12360300,13.37
2013-05-14,13.48,13.51,13.40,13.47,33785800,13.39
2013-05-13,13.44,13.52,13.40,13.52,33488600,13.44
2013-05-10,13.38,13.51,13.37,13.45,91706500,13.37
2013-05-09,13.23,13.32,13.19,13.32,13340200,13.24
2013-05-08,13.28,13.29,13.20,13.23,13694600,13.15
2013-05-07,13.30,13.33,13.23,13.26,16469700,13.18
2013-05-06,13.33,13.36,13.27,13.29,8321900,13.21
2013-05-03,13.32,13.33,13.25,13.31,15270000,13.23
2013-05-02,13.33,13.39,13.31,13.33,10591400,13.25
2013-05-01,13.37,13.38,13.31,13.33,14783300,13.25
2013-04-30,13.36,13.40,13.33,13.40,10214500,13.32
2013-04-29,13.39,13.40,13.33,13.34,8566100,13.26
2013-04-26,13.33,13.39,13.33,13.35,14587400,13.27
2013-04-25,13.30,13.38,13.28,13.34,17668100,13.26
2013-04-24,13.12,13.31,13.11,13.30,49635000,13.22
2013-04-23,13.27,13.29,13.07,13.09,51413700,13.01
2013-04-22,13.40,13.42,13.20,13.24,55579100,13.16
2013-04-19,13.45,13.51,13.38,13.40,94263800,13.32
2013-04-18,13.95,14.09,13.94,13.95,14684700,13.87
2013-04-17,14.02,14.05,13.94,13.97,15239200,13.89
2013-04-16,14.09,14.14,14.03,14.04,9527400,13.96
2013-04-15,14.02,14.14,14.01,14.04,10952600,13.96
2013-04-12,14.09,14.10,13.92,14.09,17694500,14.01
2013-04-11,14.19,14.19,14.03,14.04,18196300,13.96
2013-04-10,14.22,14.27,14.20,14.21,17146300,14.13
2013-04-09,14.20,14.25,14.18,14.19,12849500,14.11
2013-04-08,14.19,14.22,14.17,14.20,7935900,14.12
2013-04-05,14.19,14.25,14.16,14.22,18444300,14.14
2013-04-04,14.23,14.30,14.22,14.26,13092300,14.18
2013-04-03,14.26,14.30,14.21,14.23,15713900,14.15
2013-04-02,14.30,14.31,14.19,14.26,22122600,14.18
2013-04-01,14.21,14.31,14.19,14.30,16083900,14.22
2013-03-28,14.30,14.38,14.25,14.33,22144900,14.24
2013-03-27,14.36,14.43,14.31,14.34,18949000,14.25
2013-03-26,14.51,14.58,14.41,14.50,22611700,14.33
2013-03-25,14.59,14.64,14.50,14.51,53918100,14.34
2013-03-22,14.18,14.19,14.06,14.14,21533200,13.98
2013-03-21,14.37,14.40,14.07,14.14,37090200,13.98
2013-03-20,14.33,14.38,14.27,14.33,9841000,14.17
2013-03-19,14.29,14.35,14.20,14.31,15798000,14.15
2013-03-18,14.13,14.23,14.08,14.17,17736200,14.01
2013-03-15,14.19,14.48,14.09,14.31,39732800,14.15
2013-03-14,14.29,14.29,14.20,14.26,10801900,14.10
2013-03-13,14.33,14.38,14.28,14.30,10874200,14.14
2013-03-12,14.31,14.34,14.22,14.32,15365300,14.16
2013-03-11,14.28,14.41,14.22,14.37,28047500,14.21
2013-03-08,14.29,14.34,14.13,14.16,18431000,14.00
2013-03-07,14.32,14.35,14.17,14.22,32957800,14.06
2013-03-06,14.02,14.51,13.95,14.32,59808800,14.16
2013-03-05,14.01,14.10,14.00,14.07,14310700,13.91
2013-03-04,13.97,14.03,13.95,14.00,29938600,13.84
2013-03-01,13.91,14.01,13.89,14.00,13017300,13.84
2013-02-28,13.90,13.97,13.89,13.95,17857500,13.79
2013-02-27,13.86,13.96,13.84,13.92,16649600,13.76
2013-02-26,13.85,13.99,13.81,13.88,23555800,13.72
2013-02-25,13.88,13.90,13.82,13.85,16044100,13.69
2013-02-22,13.84,14.10,13.80,13.92,20966800,13.76
2013-02-21,13.77,13.85,13.75,13.82,18369500,13.66
2013-02-20,13.77,13.89,13.75,13.83,27589500,13.67
2013-02-19,13.78,13.84,13.65,13.81,24244800,13.65
2013-02-15,13.70,13.83,13.68,13.81,20541700,13.65
2013-02-14,13.81,13.86,13.66,13.71,27572400,13.55
2013-02-13,13.77,13.97,13.73,13.77,36862500,13.61
2013-02-12,13.77,13.84,13.67,13.79,33467000,13.63
2013-02-11,13.60,13.71,13.51,13.70,39495700,13.54
2013-02-08,13.51,13.67,13.45,13.63,56960300,13.47
2013-02-07,13.49,13.55,13.44,13.53,56039300,13.38
