Date,Open,High,Low,Close,Volume,Adj Close
2013-07-08,24.66,24.75,24.39,24.63,34669400,24.63
2013-07-05,24.64,24.66,24.25,24.57,19984900,24.57
2013-07-03,24.36,24.84,24.27,24.59,24775000,24.59
2013-07-02,24.24,24.64,24.22,24.32,31098600,24.32
2013-07-01,24.42,24.83,24.31,24.34,33674000,24.34
2013-06-28,24.43,24.61,24.30,24.34,35574300,24.17
2013-06-27,24.47,24.71,24.46,24.63,27115400,24.46
2013-06-26,24.30,24.45,24.18,24.39,32721400,24.22
2013-06-25,24.31,24.44,23.99,24.01,41334800,23.84
2013-06-24,24.32,24.47,24.04,24.06,35972700,23.89
2013-06-21,24.38,24.62,24.21,24.48,62052200,24.31
2013-06-20,24.48,24.73,24.30,24.44,47759000,24.27
2013-06-19,24.78,24.96,24.68,24.68,29472900,24.51
2013-06-18,24.72,24.98,24.70,24.82,34939200,24.65
2013-06-17,24.26,24.96,24.23,24.70,46042800,24.53
2013-06-14,24.31,24.50,24.08,24.09,29841100,23.92
2013-06-13,23.93,24.40,23.88,24.35,27238900,24.18
2013-06-12,24.22,24.31,23.98,23.99,29980300,23.82
2013-06-11,24.13,24.45,24.05,24.07,28060200,23.90
2013-06-10,24.57,24.67,24.28,24.36,33779400,24.19
2013-06-07,24.62,24.78,24.38,24.49,42729400,24.32
2013-06-06,24.48,24.69,24.24,24.55,44830200,24.38
2013-06-05,24.27,24.64,24.21,24.32,45742100,24.15
2013-06-04,24.27,24.60,24.03,24.36,30628500,24.19
2013-06-03,24.26,24.50,24.03,24.38,30815300,24.21
2013-05-31,24.20,24.53,24.08,24.12,40885800,23.95
2013-05-30,24.15,24.68,24.02,24.37,45162100,24.20
2013-05-29,23.71,24.24,23.70,24.12,37314000,23.95
2013-05-28,23.81,24.12,23.69,23.89,40023900,23.72
2013-05-24,23.39,23.66,23.31,23.53,25036200,23.37
2013-05-23,23.12,23.61,23.06,23.51,44376600,23.35
2013-05-22,24.00,24.02,23.25,23.34,46836300,23.18
2013-05-21,23.89,24.06,23.59,24.01,48135200,23.84
2013-05-20,23.90,23.97,23.64,23.95,54632000,23.78
2013-05-17,23.85,24.25,23.70,24.24,78569900,24.07
2013-05-16,23.51,24.24,23.36,23.89,201626500,23.72
2013-05-15,21.25,21.29,21.12,21.21,55412900,21.06
2013-05-14,21.21,21.42,21.15,21.27,38494300,21.12
2013-05-13,21.14,21.28,21.05,21.27,35347200,21.12
2013-05-10,20.83,21.10,20.82,21.10,26926900,20.95
2013-05-09,20.72,20.95,20.62,20.83,25790200,20.68
2013-05-08,20.40,20.76,20.40,20.72,37412500,20.58
